host,fqdn,ip_address,mac_address,os,location,owner_team,criticality,Comment,Expires
PROXY-428,PROXY-428.dmz.local,10.66.41.78,ad:0b:25:f7:05:3a,Ubuntu 22.04,HQ-Floor5,Cloud-Ops,low,Load balancer,2026-08-26
POS-158,POS-158.prod.internal,10.218.219.20,d0:49:1d:10:58:a4,Ubuntu 22.04,Branch-Tokyo,Desktop-Support,low,IoT sensor gateway,2026-09-11
DNS-716,DNS-716.hq.local,10.136.130.152,1e:fc:bf:6b:b3:4f,Windows 10 Enterprise,DC-West,Network-Team,critical,Test environment host,2026-10-27
DNS-147,DNS-147.lab.internal,10.117.44.144,c4:1f:0e:93:a2:9a,Windows Server 2019,DC-East,IT-Infra,high,Legacy system pending decommission,
FW-004,FW-004.lab.internal,10.235.185.159,8e:e8:e0:66:a8:8a,Windows Server 2022,Lab-B2,DevOps,critical,Approved standard workstation,2026-04-20
PROXY-865,PROXY-865.dmz.local,10.25.89.157,6d:20:2e:21:43:c8,Windows Server 2019,HQ-Floor5,Network-Team,critical,Build server,
DNS-906,DNS-906.dmz.local,10.42.15.19,a4:d4:77:a4:ba:e0,Windows Server 2022,Branch-Sydney,SOC,low,IoT sensor gateway,
SCAN-877,SCAN-877.dmz.local,10.167.29.60,75:73:1f:19:2b:bd,Ubuntu 22.04,Branch-Tokyo,Network-Team,critical,Database server,2026-10-22
VPN-762,VPN-762.dmz.local,10.145.22.99,7d:c3:1f:2a:b9:88,Windows 11 Enterprise,Lab-B2,Security-Eng,critical,Backup target device,2026-10-11
POS-137,POS-137.hq.local,10.18.209.156,32:45:7c:2a:05:43,Ubuntu 22.04,Branch-London,SOC,medium,Load balancer,
SIEM-410,SIEM-410.lab.internal,10.199.135.98,73:09:6a:3e:31:17,macOS Ventura,HQ-Floor3,Facilities,critical,Web application server,
VPN-933,VPN-933.hq.local,10.198.135.70,8b:06:d4:b8:40:f7,VMware ESXi 8.0,Branch-London,DevOps,low,Conference room device,
VPN-543,VPN-543.dmz.local,10.245.55.21,d6:b2:63:ac:48:d3,Windows 11 Enterprise,Lab-B2,Network-Team,medium,IoT sensor gateway,2026-06-28
PROXY-639,PROXY-639.hq.local,10.6.181.10,34:78:ff:e2:b1:44,RHEL 9,HQ-Floor3,Desktop-Support,high,Database server,
APP-559,APP-559.dev.internal,10.11.146.238,f3:58:ac:93:d8:32,Windows Server 2019,DC-East,NetOps,critical,Security camera NVR,
PROXY-292,PROXY-292.corp.local,10.46.213.95,49:e4:e2:c3:c3:49,macOS Ventura,HQ-Floor5,Cloud-Ops,low,Build server,
