user,target_group,host,environment,risk_level,ticket_id,Comment,Expires,_added_by,_added_at
ahernandez_dev,Print Operators,APP-SRV07,DR,high,CHG554867,Exchange health monitoring service,,,
admin_asmith,Hyper-V Administrators,SRV-SCCM07,PROD,low,CHG174924,Compliance remediation task,2026-11-13,,
svc_splunk5,Enterprise Admins,DB-SRV07,STG,critical,CHG943272,ServiceNow integration account,,,
svc_splunk1,DnsAdmins,SRV-SCCM08,STG,high,CHG938100,Vault secrets rotation service,2026-11-10,,
admin_gturner8,Server Operators,AD-SRV05,DEV,low,CHG111372,Ansible automation requires elevation,2026-11-12,,
msmith_elev,Domain Admins,EXH-MBX12,STG,medium,CHG174880,Audit requirement - privileged monitoring,,,
svc_k8s,Group Policy Creator Owners,BKP-DC10,STG,critical,CHG825082,SCCM push installation requires DA,,,
svc_backup1,DnsAdmins,AD-SRV18,DEV,critical,CHG683263,Audit requirement - privileged monitoring,,,
okim_infra6,Server Operators,SRV-SCCM08,DEV,medium,CHG817417,Compliance remediation task,2026-06-25,,
admin_gturner4,Organization Management,SIEM-SRV07,PROD,critical,CHG318336,Backup agent approved by IT Security,,,
admin_iwong3,Schema Admins,JUMP-SRV20,DEV,low,CHG597143,Audit requirement - privileged monitoring,2026-11-16,,
svc_patch1,Account Operators,SRV-SCCM16,DEV,high,CHG596756,Quarterly access review approved,2026-07-24,,
jdoe_admin,Schema Admins,APP-SRV12,DR,high,CHG214930,Database migration project,2026-05-28,,
svc_splunk4,Schema Admins,AD-SRV07,LAB,critical,CHG144401,Vault secrets rotation service,,,
svc_ansible,Account Operators,DB-SRV20,LAB,critical,CHG632570,Audit requirement - privileged monitoring,2026-09-06,,
admin_hlopez5,Schema Admins,APP-SRV07,DR,high,CHG127121,Approved by CISO for incident response,,,
admin_jdoe4,Hyper-V Administrators,BKP-DC05,LAB,low,CHG864657,Terraform provisioning account,2026-12-19,,
msmith_elev9,Enterprise Admins,JUMP-SRV01,DEV,critical,CHG277337,Database migration project,,,
kwilliams_ops7,Domain Admins,AD-SRV08,STG,low,CHG356870,Database migration project,,,
admin_epatel,Organization Management,FILE-SRV10,PROD,high,CHG320853,Penetration test engagement,,,
admin_asmith8,Schema Admins,EXH-MBX18,LAB,high,CHG312909,Penetration test engagement,,,
admin_fgarcia,Schema Admins,APP-SRV19,PROD,critical,CHG797334,Exchange health monitoring service,2026-04-24,,
svc_ansible6,Print Operators,BKP-DC12,DR,critical,CHG811982,Temporary schema change for migration,,,
ahernandez_dev,Backup Operators,BKP-DC14,DR,low,CHG808569,Ansible automation requires elevation,,,
admin_fgarcia4,Backup Operators,APP-SRV09,LAB,low,CHG479336,Backup agent approved by IT Security,,,
svc_vault,Print Operators,DB-SRV12,LAB,low,CHG912133,Emergency change request,,,
admin_ckhan3,Domain Admins,JUMP-SRV07,PROD,medium,CHG244334,Exchange health monitoring service,2026-10-07,,
svc_vault8,Remote Desktop Users,LOG-SRV02,DR,low,CHG699544,Vault secrets rotation service,2026-07-03,,
ahernandez_dev,Print Operators,EXH-MBX13,STG,medium,CHG125098,Deploy pipeline runs nightly,,,
svc_jenkins8,Account Operators,DC14,DR,critical,CHG957039,Emergency change request,2026-04-25,,
admin_bwilson5,Domain Admins,DNS-SRV17,STG,medium,CHG409740,Ansible automation requires elevation,2026-06-09,,
svc_patch4,Hyper-V Administrators,BKP-DC18,DEV,high,CHG362631,Audit requirement - privileged monitoring,,,
admin_ckhan,Organization Management,DNS-SRV16,PROD,low,CHG330900,Compliance remediation task,,,
svc_ldap,Organization Management,FILE-SRV05,LAB,low,CHG616797,Splunk deployment server access,,,
pgupta_net3,Domain Admins,SIEM-SRV14,DEV,high,CHG371572,Cloud migration temporary access,2026-08-27,,
